Kundnr,Flexplatsadress,Flexgrupp,Fraktion,Flextyp,Flexplats,Utförande utfört,Enhet körtur,Vikt körtur
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-09-02,Kg,20
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-09-02,Kg,5.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-09-09,Kg,4.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-09-09,Kg,3
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-09-16,Kg,2.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-09-16,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-09-23,Kg,2.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-09-23,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-09-30,Kg,3.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-09-30,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-10-07,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-10-07,Kg,8.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-10-14,Kg,5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-10-14,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-10-21,Kg,4.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-10-21,Kg,6.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-10-27,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-10-28,Kg,16
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-10-28,Kg,5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-11-04,Kg,18.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-11-04,Kg,6
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-11-11,Kg,11.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-11-11,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-11-18,Kg,13
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-11-18,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-11-25,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-11-25,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-12-02,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-12-02,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-12-09,Kg,8
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-12-09,Kg,10.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-12-16,Kg,12
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-12-16,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-12-22,Kg,11
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-12-22,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-12-29,Kg,11
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2024-12-29,Kg,3.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-01-06,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-01-13,Kg,6
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-01-13,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-01-20,Kg,16
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-01-20,Kg,2
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-01-27,Kg,16.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-01-27,Kg,4.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-02-03,Kg,17
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-02-03,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-02-10,Kg,9
